text,label,text_length,word_count,cleaned_text,processed_text,word_count_processed,processed_length
im feeling rather rotten so im not very ambitious right now,sadness,59,11,im feeling rather rotten so im not very ambitious right now,im feeling rather rotten so im not very ambitious right,10,55
im updating my blog because i feel shitty,sadness,41,8,im updating my blog because i feel shitty,im updating blog feel shitty,5,28
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,97,22,i never make her separate from me because i don t ever want her to feel like i m ashamed with her,never make separate ever want feel like ashamed,8,47
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,113,21,i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,left bouquet red yellow tulip arm feeling slightly optimistic arrived,10,69
i was feeling a little vain when i did this one,sadness,47,11,i was feeling a little vain when i did this one,feeling little vain one,4,23
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,66,13,i cant walk into a shop anywhere where i do not feel uncomfortable,cant walk shop anywhere not feel uncomfortable,7,46
i felt anger when at the end of a telephone call,anger,48,11,i felt anger when at the end of a telephone call,felt anger end telephone call,5,29
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,222,39,i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,explain clung relationship boy many way immature uncommitted despite excitement feeling getting accepted master program university virginia,17,139
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,89,18,i like to have the same breathless feeling as a reader eager to see what will happen next,like breathless feeling reader eager see happen next,8,52
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,159,34,i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,jest feel grumpy tired pre menstrual probably week im fit walrus vacation summer,13,80
i don t feel particularly agitated,fear,34,6,i don t feel particularly agitated,feel particularly agitated,3,26
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness,126,24,i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,feel beautifully emotional knowing woman knew just handful holding baba journey,11,79
i pay attention it deepens into a feeling of being invaded and helpless,fear,71,13,i pay attention it deepens into a feeling of being invaded and helpless,pay attention deepens feeling invaded helpless,6,46
i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy,95,18,i just feel extremely comfortable with the group of people that i dont even need to hide myself,just feel extremely comfortable group people dont even need hide,10,64
i find myself in the odd position of feeling supportive of,love,58,11,i find myself in the odd position of feeling supportive of,find odd position feeling supportive,5,36
i was feeling as heartbroken as im sure katniss was,sadness,51,10,i was feeling as heartbroken as im sure katniss was,feeling heartbroken im sure katniss,5,35
i feel a little mellow today,joy,28,6,i feel a little mellow today,feel little mellow today,4,24
