text,label
might feel offended time hearing statement strongly disagree,anger
feel little low japan always feel pang guilt fail appreciate living situation decision,sadness
feel so pretty doesnt matter un glamorous task,joy
aint happy im feeling glad got sunshine bag im useless not long future coming,joy
feel fine feeling well fine,joy
im feeling jolly href http www,joy
feeling so happy,joy
feel feel drained feel talking others finish strength,sadness
also know today refuse hate jew anybody else know feel hated,sadness
not people person fuckin reason people feel come bore fuckin petty garbage,anger
start feel little overwhelmed knowing make still,surprise
feeling optimistic blue sky no wind temperature hovering degree,joy
get disappointed make feel so rejected especially disappointed loved one,sadness
woke felt sad quickly replaced feeling reassured thing work time,joy
went wedding weekend say feeling very important,joy
lost pound also started feel really awful,sadness
never make separate ever want feel like ashamed,sadness
feeling spark not sure going ever turn flame,joy
feel pretty much like scene href http www,joy
know feeling amp blessed,joy
snuffling feeling dull,sadness
know mostly forcing distracted feeling determined think though still hurting learning cope kame take breath,joy
just feel end marriage deserves truthful explanation,joy
feeling bit naughty scanning article magazine know so many people would love read thi,love
feel immensely distracted barrage medium receive solicit,anger
always make thing harder im not going lie sometimes way complicating very simple however new baby pretty big undertaking comment many many others feel like see disturbed very little,sadness
friend dropped frog neck,anger
couldnt help feeling awful predicament life daily nightly basis just so glad bel started see light stuck stood daniel whilst no one else including family im afraid got really disgusted,sadness
just feel others worthwhile,joy
like feel sweet feel offended,love
I'm not fear,neutral
know feeling very real not petty neither mine,anger
feel like no way humiliated asa guy obssessed played embarrassing joke getting caught tabby wife tabby lover married blindly fell love,sadness
feel thoroughly virtuous even daily trip compost bin pleasant experience,joy
know take week book go free amazon barnes amp noble age cent buy full length ebook feel little funny charging even cent work almost certain page possibly,surprise
ate something wrong so feel terrible day,sadness
feel beautifully emotional knowing woman knew just handful holding baba journey,sadness
feel uncomfortable telling others girl wish list,fear
feel numb,sadness
feel like im so distracted day,anger
feel bit dull,sadness
never dreamed would so busy so soon new year loving feeling so very gracious fortunate,joy
follow too many people too many follower however feeling people talking may know not trying rude just real,anger
cant strappy shoe work just feel weird so took thrifted ninewest,fear
just plain feel envious self confidence,anger
desperate kareena akshay kumar play double role flash forward minissha say still feel today amisha patel glamorous avtaar,joy
feel brave today heading amman beirut way istanbul feel brave today href http jessicadickinsongoodman,joy
started feeling little stressed leaving time making sure got getting ready picture wanted everything seemed workout perfectly,anger
got ta say feeling little slutty,love
feel inside life like game sometimes came around wall just dissapeared nothing surround keep fear im unprotected see ive opened youve made trust coz ive never felt like im naked around show,sadness
just feel so smug got exploited get bruno marzzz,joy
wan na feel good,joy
feel empty inside not surprising considering havent eaten day,sadness
ive feeling little blank could think nothing write might interesting explore mind captivated,sadness
remember feeling so frightened could feel emotion high level,fear
feel quite passionate old child undergo beauty treatment,joy
feel like alcoholism something widely accepted norm gay culture,joy
highly recommend visiting wednesday youre able less crowded so get ask farmer question without feeling rude holding line,anger
feel stressed love feeling calming spirit heavenly father feeling keep working,sadness
im feeling pretty anxious,fear
feel like im spa getting wonderful facial use,joy
feel worthwhile item within company mission,joy
feel so weird guess kind happy,fear
suggest take look feel curious enough know thing specific english word related familiar disease,surprise
not see nice word keep heart feeling wonderful,joy
see pitcher mound little league diamond feel so anxious look so isolated,fear
lay typing hate blog entry no one would read although want whole world read praise like dickens feel so miserable,sadness
soon realized initial attraction activity feel playful often followed desire practice perfect talent led original enjoyment,joy
feel so relieved happy realize said,joy
im feeling really outgoing get really quiet person try make feel comfortable,joy
feel insecure sometimes doesnt,fear
im feeling kind melancholy really want go home cuddle boy,sadness
could feel much slower treadmill pace pleasant six day relative inactivity just happy running,joy
hate feel so bothered word team word badminton,anger
feel quite reluctant pick dance dragon book done know long wait martin finish next installment took year release dance dragon feast crow,fear
feel calm silent protected definiteness existence,joy
feel afraid whatever ad anything happen idc good bad just afraid hope god help whatever,fear
feel though another adventure curious anything else,surprise
still wake feeling suspicious,fear
also feeling ole restless leg syndrome shifted back forth leg trying something excess energy just hit,fear
also feel need say thank boy helped realize showing absolutely splendid hot night,joy
going trial just feeling troubled something love put worship music driving really think word sing pray go,sadness
assumed would feel casual,joy
feel sympathetic towards tired weary see split second doubt could make effortless action standing still seem like better option,love
feeling rather homesick today so decided make list typical city sight might come use decide visit switzerland largest city,sadness
im still feeling pretty low demotivated including ups,sadness
dare following feeling brave enough,joy
feel world much innocent place,joy
think feel little weird,fear
feel smart figure thing,joy
agree even though feel discouraged like go place lot color make feel better,sadness
im feeling adventurous successful quest so far,joy
feeling homesick annual easter breakfast service church morning left hike mt precipice sunrise,sadness
feel like may mislead very gracious reader blog,joy
im tired feeling unhappy thing unmotivated,sadness
continue write feel distraught,fear
feel helpless regain safe feeling,sadness
feel completely distracted emotionally drained,anger
im even feeling liked girl hate pretty much everyone,love
feel energetic,joy
guess no matter much think im feeling ok im nervous hell inside scan revealing something dont want know,joy
im feeling just little proud,joy
im just realizing didnt diet coke today make feel proud regardless junk consumed today,joy
felt so bad bad grade feeling like hide didnt know say except declare frustration hated school,sadness
not feeling terrific,joy
feel like stubborn stingy,anger
feel remorseful crime committed intentionally unintentionally whether not known not known,sadness
feeling very unsure near breaking point,fear
never feel like im not supporting,joy
feeling better though dont sound,joy
sit cry feel wronged wont change outcome,anger
im feeling ive liked pregnant,love
go around questioning broad feeling suspicious,fear
feel contented just hearing said hellip,joy
feel uncomfortable since smaller rib cage bigger chest either spilling top tank elastic band support too tight too loose,fear
not not lost yarn over done first lace project feeling pretty pleased,joy
feel suffering,sadness
feel safe berry,joy
im feeling depressed,sadness
feel might lost potty training train,sadness
feel give credit jen mitchell gorgeous card href http www,joy
feel very mislead someone really really thought knew liked very much so,love
im feeling pretty disheartened whole thing,sadness
im feeling absolutely amazing,surprise
feel nutritionally supportive well,love
feel insulted pete edochie responds death,anger
im not feeling jolly year though,joy
want feel irritated,anger
feel less alone,sadness
id ever known so figured normal feel ugly dumb weird,sadness
wake feeling like something terrifyingly bad bound happen even get chance stick limb outside cover,sadness
suppose feel too trusting sometimes,joy
ive rough day since midst cry dealing feeling just so defeated emotional put coat curled created safety nest inside coat,sadness
like think present life time working mum good standard ever miss apostrophe miss spell particular word please feel free call,joy
feel divine way one,joy
also feel helped newbie blogger connect feel welcomed immediately,joy
reckon need stop feeling bitter realistic,anger
feel absolutely devastated gaia pushed limit spite great stride seem making medium attention lately,sadness
feel like people love want need talk connect anymore fucked mental health emotional problem help contribute contain understand encompass,anger
see turn talk right feeling proud scared little sick think adrenaline though,joy
feel worthwhile give depth city sized look one cycle day,joy
ended podcast feeling not depressed exactly like still concrete answer strike balance self help author love talk,sadness
havent sick winter very often since quit smoking year ago so seldom fact get sick feel outraged hows rational thinking,anger
decided lay bed started feel really violent like wanted punch kick thing except didnt wnat hurt anything,anger
exactly feel whenever feel lonely depressed pray help guidance href http,sadness
grabbed dog hugged fiercly next hour so began feel bit like havent completly shaken feeling feeling rather depressed anxious day,fear
entered office though feeling monday blue joyful serene spirit dominating,joy
could adopt message could think help make feel peaceful grateful just happier right,joy
wrote two year ago so many thing feel unsure maybe,fear
im feeling doubtful pattern color working together cant sure everything come together,fear
dont know let go feel vain wait stay vain,sadness
feel unfathomably rich healthy pregnancy so far,joy
feel so greedy holiday forgetting responsibility,anger
feel like paradise kissing sweet lip make feel like dive magical world love,joy
want feel less stressed,sadness
cant feel anything like said everything always hurt so bad,sadness
personally feel very creative present everything packed inside brown paper bag,joy
like outsourcing picky sod usually end feeling dissatisfied work others force outsource need realize everything,anger
not feel passionate joy,joy
said something familiar would love present feel too anxious time,fear
im feeling little hopeful future career,joy
help feel pissed side debate unnecessary dichotomy,anger
feel around someone idiotic feel hence unintelligible blabbering,sadness
feel talented enough team win game go deep tournament,joy
feel unwelcome apartment certainly not,sadness
like feeling get someone even little bit offended offhand remark made,anger
began feel very strange,fear
feel unimportant spends night sara get no phone call,sadness
im trying feel house style im living creative carte blanche,joy
watched news tv,anger
gather supply start check progress via internal exam head midwife prepares start iv calmly asks others assistance feel reassured calmness,joy
feeling distracted yesterday,anger
explain clung relationship boy many way immature uncommitted despite excitement feeling getting accepted master program university virginia,joy
im not sure just feel way everyone tortured soul dont make best boyfriend,anger
chance difficult accommodate feeling jehovah benevolent lord,joy
